exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,35102,360ONE25OCT660CE,NSE-360ONE-28Oct25-660-CE,,CE,FNO,,,360ONE,13061,2025-10-28,660,500,0.05,20001,1,1,1,360ONE25OCT660CE,0
NSE,54320,360ONE25NOV920CE,NSE-360ONE-25Nov25-920-CE,,CE,FNO,,,360ONE,13061,2025-11-25,920,500,0.05,20001,0,1,1,360ONE25NOV920CE,0
NSE,60721,360ONE25SEP820PE,NSE-360ONE-30Sep25-820-PE,,PE,FNO,,,360ONE,13061,2025-09-30,820,500,0.05,20001,1,1,1,360ONE25SEP820PE,0
NSE,60771,360ONE25SEP1020CE,NSE-360ONE-30Sep25-1020-CE,,CE,FNO,,,360ONE,13061,2025-09-30,1020,500,0.05,20001,0,1,1,360ONE25SEP1020CE,0
NSE,61014,360ONE25OCT720CE,NSE-360ONE-28Oct25-720-CE,,CE,FNO,,,360ONE,13061,2025-10-28,720,500,0.05,20001,1,1,1,360ONE25OCT720CE,0
NSE,36691,031NSETEST36DECFUT,NSE-031NSETEST-27Nov36-FUT,,FUT,FNO,,,031NSETEST,14753,2036-11-27,0,50,0.05,100001,0,1,1,031NSETEST36DECFUT,0
NSE,54341,360ONE25NOV1200PE,NSE-360ONE-25Nov25-1200-PE,,PE,FNO,,,360ONE,13061,2025-11-25,1200,500,0.05,20001,0,1,1,360ONE25NOV1200PE,0
NSE,36700,061NSETEST36DECFUT,NSE-061NSETEST-27Nov36-FUT,,FUT,FNO,,,061NSETEST,14762,2036-11-27,0,50,0.05,100001,0,1,1,061NSETEST36DECFUT,0
NSE,36713,091NSETEST36DECFUT,NSE-091NSETEST-27Nov36-FUT,,FUT,FNO,,,091NSETEST,14769,2036-11-27,0,50,0.05,100001,0,1,1,091NSETEST36DECFUT,0
NSE,54307,360ONE25NOV640PE,NSE-360ONE-25Nov25-640-PE,,PE,FNO,,,360ONE,13061,2025-11-25,640,500,0.05,20001,1,1,1,360ONE25NOV640PE,0
NSE,61035,360ONE25OCT960PE,NSE-360ONE-28Oct25-960-PE,,PE,FNO,,,360ONE,13061,2025-10-28,960,500,0.05,20001,0,1,1,360ONE25OCT960PE,0
NSE,62741,360ONE25SEP1440PE,NSE-360ONE-30Sep25-1440-PE,,PE,FNO,,,360ONE,13061,2025-09-30,1440,500,0.05,20001,1,1,1,360ONE25SEP1440PE,0
NSE,54285,360ONE25OCT1020PE,NSE-360ONE-28Oct25-1020-PE,,PE,FNO,,,360ONE,13061,2025-10-28,1020,500,0.05,20001,0,1,1,360ONE25OCT1020PE,0
NSE,61046,360ONE25OCT1120CE,NSE-360ONE-28Oct25-1120-CE,,CE,FNO,,,360ONE,13061,2025-10-28,1120,500,0.05,20001,0,1,1,360ONE25OCT1120CE,0
NSE,46527,360ONE25OCT1480PE,NSE-360ONE-28Oct25-1480-PE,,PE,FNO,,,360ONE,13061,2025-10-28,1480,500,0.05,20001,1,1,1,360ONE25OCT1480PE,0
NSE,54292,360ONE25OCT1180CE,NSE-360ONE-28Oct25-1180-CE,,CE,FNO,,,360ONE,13061,2025-10-28,1180,500,0.05,20001,1,1,1,360ONE25OCT1180CE,0
NSE,62735,360ONE25SEP1320PE,NSE-360ONE-30Sep25-1320-PE,,PE,FNO,,,360ONE,13061,2025-09-30,1320,500,0.05,20001,1,1,1,360ONE25SEP1320PE,0
NSE,54348,360ONE25NOV1360CE,NSE-360ONE-25Nov25-1360-CE,,CE,FNO,,,360ONE,13061,2025-11-25,1360,500,0.05,20001,1,1,1,360ONE25NOV1360CE,0
NSE,62706,360ONE25SEP920CE,NSE-360ONE-30Sep25-920-CE,,CE,FNO,,,360ONE,13061,2025-09-30,920,500,0.05,20001,0,1,1,360ONE25SEP920CE,0
NSE,61070,360ONE25OCT1360PE,NSE-360ONE-28Oct25-1360-PE,,PE,FNO,,,360ONE,13061,2025-10-28,1360,500,0.05,20001,1,1,1,360ONE25OCT1360PE,0
NSE,48446,360ONE25SEP760PE,NSE-360ONE-30Sep25-760-PE,,PE,FNO,,,360ONE,13061,2025-09-30,760,500,0.05,20001,1,1,1,360ONE25SEP760PE,0
NSE,62719,360ONE25SEP1080CE,NSE-360ONE-30Sep25-1080-CE,,CE,FNO,,,360ONE,13061,2025-09-30,1080,500,0.05,20001,0,1,1,360ONE25SEP1080CE,0
NSE,60722,360ONE25SEP860CE,NSE-360ONE-30Sep25-860-CE,,CE,FNO,,,360ONE,13061,2025-09-30,860,500,0.05,20001,1,1,1,360ONE25SEP860CE,0
NSE,62736,360ONE25SEP1360CE,NSE-360ONE-30Sep25-1360-CE,,CE,FNO,,,360ONE,13061,2025-09-30,1360,500,0.05,20001,1,1,1,360ONE25SEP1360CE,0
NSE,54314,360ONE25NOV800CE,NSE-360ONE-25Nov25-800-CE,,CE,FNO,,,360ONE,13061,2025-11-25,800,500,0.05,20001,1,1,1,360ONE25NOV800CE,0
NSE,60799,360ONE25SEP1260PE,NSE-360ONE-30Sep25-1260-PE,,PE,FNO,,,360ONE,13061,2025-09-30,1260,500,0.05,20001,1,1,1,360ONE25SEP1260PE,0
NSE,36724,151NSETEST36DECFUT,NSE-151NSETEST-27Nov36-FUT,,FUT,FNO,,,151NSETEST,14782,2036-11-27,0,50,0.05,100001,0,1,1,151NSETEST36DECFUT,0
NSE,61025,360ONE25OCT840PE,NSE-360ONE-28Oct25-840-PE,,PE,FNO,,,360ONE,13061,2025-10-28,840,500,0.05,20001,0,1,1,360ONE25OCT840PE,0
NSE,36718,121NSETEST36DECFUT,NSE-121NSETEST-27Nov36-FUT,,FUT,FNO,,,121NSETEST,14777,2036-11-27,0,50,0.05,100001,0,1,1,121NSETEST36DECFUT,0
NSE,60712,360ONE25SEP680CE,NSE-360ONE-30Sep25-680-CE,,CE,FNO,,,360ONE,13061,2025-09-30,680,500,0.05,20001,1,1,1,360ONE25SEP680CE,0
